Power station name,Installed capacity,Accreditation start date
Scholastic Lisarow - Solar w SGU - NSW,0.3601,10/11/2023
"Casswell Terrace, McDougalls Hill - Solar - NSW",0.211,9/11/2023
SIGNCRAFT PTY - Solar - VIC,0.198,9/11/2023
Redmud Green Energy 124 - Solar - SA,0.6771,9/11/2023
AU260 Rochedale Motorway Estate - Solar - QLD,0.414,8/11/2023
AU267 Rochedale Motorway Estate - Solar - QLD,0.2815,8/11/2023
Sisters Of St Paul De Chartres - Solar w SGU - QLD,0.2593,8/11/2023
Cue -Renewable Energy Facility-Solar -WA,0.2594,3/11/2023
115 Frederick Street - Solar - QLD,0.292,2/11/2023
Alsco - Solar w SGU - VIC,0.2295,2/11/2023
Vaxxas Hamilton - Solar w SGU - QLD,0.198,1/11/2023
GLOBAL FOOD & WINE (BRIS) - SOLAR W SGU - QLD,0.19,1/11/2023
Mannum 2 Solar Farm - Solar - SA,39.2522,1/11/2023
SCG Tuggerah - Solar - NSW,1.3508,31/10/2023
SCG Hornsby - Solar - NSW,0.5088,31/10/2023
315 Parramatta Road- Solar - NSW,0.1502,30/10/2023
Loxton - Solar - SA,0.198,26/10/2023
Dubbo-Solar-NSW,7.2128,26/10/2023
State Herbarium - Solar(wSGU) - Adelaide - SA,0.1792,26/10/2023
Bunnings Stafford - Solar - QLD,0.34,25/10/2023
Bunnings Burnie - Solar - TAS,0.22,24/10/2023
Bunnings Glenorchy - Solar - TAS,0.4,24/10/2023
Bunnings Narellan - Solar - NSW,0.16,24/10/2023
Yadlamalka - Solar - SA,6.0091,24/10/2023
Wideline Joule Place - Solar w SGU - NSW,0.4061,24/10/2023
Green Peak Energy - Agboss Albury - Solar w SGU - NSW,0.1997,24/10/2023
Woolworths Forster 1177 - Solar - NSW,0.3257,23/10/2023
Woolworths Mt Barker South 5098 - Solar - SA,0.2374,23/10/2023
Marsh Alliance Carole Park - Solar w SGU - QLD,0.3682,23/10/2023
Woolworths Aberglasslyn 1410 - Solar - NSW,0.1969,23/10/2023
Revolution Narangba - Solar - QLD,0.1558,23/10/2023
Bunnings Hervey Bay - Solar - QLD,0.5,19/10/2023
Balline Lucky Bay Wind Farm-Wind-WA,4.2,19/10/2023
AU144/178 Oakdale West 3B1 - Solar - NSW,0.2501,16/10/2023
AU144/178 Oakdale West 3B2 - Solar - NSW,0.2501,16/10/2023
PEPE'S DUCKS WALKER ST - SOLAR w SGU - NSW,0.4685,16/10/2023
Broome SHS  - Solar - WA,0.2744,16/10/2023
ELF FARM SUPPLIES_System 1 - Solar w SGU - NSW,0.2735,13/10/2023
ELF FARM SUPPLIES_System 2 - Solar w SGU - NSW,0.7819,13/10/2023
ELF FARM SUPPLIES_System 3 - Solar w SGU - NSW,0.5129,13/10/2023
SOUTHERN STEEL (WA) PTY LIMITED - Solar w SGU - WA,0.306,10/10/2023
Ingenia Solar PV Vic,0.552,9/10/2023
Fletchers International Grain Terminal - Solar w SGU - NSW,0.5017,4/10/2023
Redwing (Ashmore) Pty Ltd - Solar w SGU - QLD,0.2525,4/10/2023
28 Weyba St - Solar - QLD,0.149,3/10/2023
Woolworths Sandgate 2605 - Solar - QLD,0.2714,28/09/2023
"Karingal Hub, Frankston - Solar - VIC",0.51,28/09/2023
1 National Circuit Barton - Solar w SGU - ACT,0.1656,28/09/2023
3-5 National Circuit Barton - Solar w SGU - ACT,0.1656,28/09/2023
Nu-Pure Unit Trust - Solar w SGU - QLD,0.5864,28/09/2023
Eilbeck cranes Moss Vale - Solar w SGU - NSW,0.458,27/09/2023
Agile Energy - Evermore - 277kW Solar w SGU - NSW,0.2776,27/09/2023
Bathurst - Solar -NSW,0.664,26/09/2023
Oran Park Commercial 2  - Solar  - NSW,0.1659,26/09/2023
Karratha Leisureplex PV System - Solar - WA,0.8018,26/09/2023
Robina Central- Solar - QLD,0.212,26/09/2023
Woolworths Leanyer 5659 - Solar - NT,0.2199,25/09/2023
Dimmar Pendle Hill - Solar w SGU - NSW,0.1926,25/09/2023
Dimmar Minto - Solar w SGU - NSW,0.4086,22/09/2023
DHLS Truganina WH2 - Solar - VIC,0.1998,21/09/2023
Conti Orchards - Solar w SGU - VIC,0.1702,21/09/2023
Yamanto Central - Solar w SGU- QLD,1.3325,20/09/2023
Sarstedt - Mawson Lakes - Solar - SA,0.8222,20/09/2023
Pilgangoora-Solar-WA,5.9875,14/09/2023
19th Avenue Shopping Centre Elanora - Solar w SGU - QLD,0.25,13/09/2023
Eastern Creek Quarters (Frasers) - Solar W SGU - NSW,0.2997,13/09/2023
Woolworths Renmark 5608 - Solar - SA,0.3151,13/09/2023
AU146 Cumberland Industrial Estate - Solar w SGU - NSW,0.1997,13/09/2023
AU265 Rochedale Motorway Estate - Solar - QLD,0.356,13/09/2023
"Australia Post (Admin & Parcel Buildings) - Ralph St, Alexandria - Solar w SGU - NSW",0.4724,13/09/2023
Ecolab Darra - Solar - QLD,0.292,8/09/2023
Bingo MPC2 - Solar - NSW,1.0485,5/09/2023
Garden Well-Solar-WA,9.3991,23/08/2023
VEROSOL (AUSTRALIA) PTY. LTD - Solar w SGU - NSW,0.2998,22/08/2023
Deniliquin RSL Microgrid - Solar - NSW,0.2756,15/08/2023
OLERS - RUTHERGLEN IGA - Solar - VIC,0.1403,15/08/2023
Nambour Selangor Private Hospital - 189.5kW - Solar w SGU - QLD,0.1895,11/08/2023
Kelly Consolidated Rangeville - Solar w SGU - QLD,0.2443,10/08/2023
Robertson Barracks Solar Farm - Solar - NT,10.8856,10/08/2023
"Lambridge Place, Penrith - Solar w SGU - NSW",0.3696,4/08/2023
18 Loyalty Road - Solar - NSW,0.1663,2/08/2023
Autopak-Vetlab Group - 178kW - Solar w SGU - NSW,0.178,2/08/2023
Bunnings Rosebud - Solar  - VIC,0.16,31/07/2023
"Victor Cres, Narre Warren - Solar w SGU - VIC",0.1906,20/07/2023
OLERS - FOODWORKS - Solar w SGU - VIC,0.2689,20/07/2023
AU870 17-19B Interchange Drive Eastern Creek - Solar w SGU - NSW,0.7482,11/07/2023
Mildura Base Hospital 2 - Solar - VIC,0.1536,10/07/2023
Hardchrome Engineering - Solar - VIC,0.7,10/07/2023
Coopers Plains - solar w SGU - QLD,0.5414,3/07/2023
Westside Christian College Senior - Solar w SGU - QLD,0.2241,3/07/2023
Toowoomba - Solar w SGU - QLD,0.6871,3/07/2023
Junee Prime Lamb Solar Farm NSW,2.3184,2/07/2023
Cutri Fruit - Solar w SGU - VIC,0.189,30/06/2023
"Cooper St, Epping - Solar w SGU - VIC",1.9838,28/06/2023
"Factory 7, 315 Cooper Street, Epping - Solar - VIC",0.4607,28/06/2023
Glen Eira City Council - Warrawee - Solar - VIC,0.1998,28/06/2023
Yalgoo Renewable Energy Facility - Solar and BESS - WA,0.2136,27/06/2023
BIDFOOD BERESFIELD - Solar w SGU - NSW,0.1611,26/06/2023
Rivercrest Christian College - Solar w SGU - VIC,0.1899,23/06/2023
Mildura Base Hospital 1 - Solar - VIC,0.1536,22/06/2023
Americold - Solar w SGU - QLD,1.0013,21/06/2023
Concept Paint - Solar - NSW,0.1004,16/06/2023
RNA Showgrounds Bowen Hills - Solar w SGU - QLD,0.6005,15/06/2023
Seven Springs Building Services - Solar w SGU - QLD,0.2178,13/06/2023
AU058 - Bungaribee Industrial Estate - Metcash - Solar - NSW,0.782,8/06/2023
Live-in-Learning - Solar - WA,0.3486,7/06/2023
Ocado - Solar - NSW,2.0046,1/06/2023
AEW Ingham's - Solar - SA,0.9999,29/05/2023
"Clunies Ross St, Prospect - Solar - NSW",0.303,24/05/2023
Northgate - Solar  - QLD,0.2198,18/05/2023
"Cranbourne Rd, Frankston - Solar - VIC",0.1998,17/05/2023
PIPERS BROOK VINEYARD - Solar  - TAS,0.2,17/05/2023
St Catherines Junior Senior Proserpine - Solar w SGU - QLD,0.2715,15/05/2023
OLERS-Village Dairy-Solar-VIC,0.3,1/05/2023
AU525 Oakdale Industrial Estate WH1&2 - Solar - NSW,0.6398,18/04/2023
Woolworths Redland Bay Shopping Centre 2714 - Solar - QLD,0.1998,14/03/2023
Roseville College - Solar PV w SGU - NSW,0.2367,1/03/2023
Hillcrest Rockhampton Private Hospital - Solar - QLD,0.2754,27/02/2023
"Millennium Ct, Silverwater - Solar - NSW",0.7016,23/02/2023
Westmead Private Hospital - Solar w SGU - NSW,0.254,17/02/2023
Huntingtower School - Solar wSGU - VIC,0.2099,15/02/2023
CCEP Darwin - Solar - NT,0.266,13/02/2023
WCC Gibbes St Depot - Solar wSGU - NSW,0.128,13/02/2023
Beerenberg Hybrid - Solar - SA,0.3499,10/02/2023
Blue Lake Milling - Agricultural Waste - SA,1.2,30/01/2023
Coombabah Waste Water Treatment Plant - Sewage Gas - QLD,0.55,18/01/2023
Eurong Beach Resort - Solar w SGU - QLD,0.3586,10/01/2023
Raygen Power Plant Carwarp - Solar - VIC,7.6623,8/12/2022
Clevertronics - Scoresby - Solar w SGU - VIC,0.1647,18/10/2022
Happy Valley Water Filtration Plant (HAVWTP) - Solar - SA,12.825,13/10/2022
Apollo Kitchen - Solar w SGU - NSW,0.2997,9/10/2022
AAT Port Of Brisbane-Solar w SGU-QLD,0.3,26/09/2022
Josam Unit Trust (Samin Sheet Metal) - Solar w SGU - QLD,0.1879,26/09/2022
Pilbara Motor Group - Solar - WA,0.3996,20/09/2022
"1 Botero Place, Truganina - Solar - VIC",0.3536,8/09/2022
GPT Chirnside Park - Solar - VIC,0.651,25/08/2022
South Gippsland Water - Lance Creek Plant - Solar - VIC,0.6796,20/06/2022
Ningaloo Visitors Center - Solar wSGU -WA,0.2595,22/04/2022
Phoenix Community College - Solar  - VIC,0.1998,12/04/2022
Mareeba Wastewater Plant - Solar PV - QLD,0.1295,4/03/2022
Mareeba Water Treatment Plant - Solar - QLD,0.1436,3/03/2022
Oaks Hotel Goldsbrough - Solar  - NSW,0.1759,15/10/2021
Thargomindah Cooling Ponds - Solar w SGU - QLD,0.239,7/09/2021
Glenelg Waste Water Treatment Plant (GLGWWTP) - Solar - SA,1.32,26/06/2020
Raymond Tce - LFG - NSW,1.123,22/06/2023
Kia-Ora Piggery Martins Road - Agricultural Waste - VIC,0.2,10/08/2022
Naracoorte Cogeneration - Biogas - SA,0.55,11/05/2022
Teralba Power Plant - WCMG - NSW,3.11,1/07/2012
West VAMP Power Station - WCMG - NSW,6.5,1/07/2012
Tahmoor Power Plant - WCMG - NSW,7.26,1/07/2012
Glennies Creek Power Plant - WCMG - NSW,11.69,1/07/2012
Oaky Creek Power Plant - WCMG - QLD,35.9,1/07/2012
German Creek Power Station - WCMG - QLD,45,1/07/2012
Moranbah North Power Station - WCMG - QLD,63.8,1/07/2012
Glenrowan Solar Farm - VIC,130.0018,5/12/2023
Cosgrove Solar - Vic,7.4356,28/11/2023
Energy Bay - Deception Bay - Solar wSGU - QLD,0.64,24/11/2023
Gudai-Darri Solar Power Station - Solar - WA,43.923,13/11/2023
Redmud Green Energy 165 Pty Ltd - Solar - NSW,6.401,11/11/2023
Brendale Asphalt Plant - Solar w SGU - QLD,0.1953,2/11/2023
Bunnings Kempsey South - Solar - NSW,0.25,31/10/2023
"Hackett Terrace, Richmond Hill - Solar w SGU-QLD",0.6173,26/10/2023
AU525 Oakdale South 2B1 - Solar - NSW,0.3508,24/10/2023
Great Western Harristown -Solar w SGU - QLD,0.2004,12/10/2023
Minto PPA- Solar - NSW,0.2926,10/10/2023
BP Shinju Broome-Solar w SGU-WA,0.2501,10/10/2023
Coleambally-Solar-NSW,7.2128,9/10/2023
Tuckabianna-Solar-WA,6.0429,5/10/2023
AU875 Moorebank 4 Secombe PL - Solar - NSW,0.2403,25/09/2023
Big Tyre Rockville - Solar w SGU - QLD,0.2169,21/09/2023
BIG W Inverell 116 - Solar - NSW,0.1996,21/09/2023
DHLS Truganina WH1 - Solar - VIC,0.1998,21/09/2023
Woolworths Leppington 1024 - Solar - NSW,0.3533,20/09/2023
Woolworths DC Larapinta 2993 - Solar - QLD,1.6937,20/09/2023
Darrell Lea Ingleburn - Solar - NSW,1.4701,19/09/2023
Retail First Sunnybank Hills-Solar-QLD,0.9997,13/09/2023
Woolworths Whyalla Westland 5635 - Solar - SA,0.3473,13/09/2023
AU144/179 Oakdale West 4E (Woolworths) - Solar - NSW,0.7498,13/09/2023
Binduli Renewables - Solar - WA,2.336,7/09/2023
CleanPeak Energy - Ferntree - Solar - VIC,0.1805,6/09/2023
Mt Keith Solar Farm - WA,27.3893,31/08/2023
Leinster Solar Farm - WA,10.7584,31/08/2023
Southern Steel Properties - Solar - QLD,0.2997,31/08/2023
FLYERS CREEK WIND FARM-WIND-NSW,145.54,31/08/2023
Bunnings Clyde North - Solar - VIC,0.3,29/08/2023
Bunnings Altona - Solar - VIC,0.2204,29/08/2023
Agile Energy - Calvary Kogarah Hospital - 200kW Solar w SGU - NSW,0.2,25/08/2023
AU643 The Iconic 19 Berry St - Solar - NSW,0.2889,23/08/2023
Sandstone Renewable Energy Facility - Solar and BESS - WA,0.1635,23/08/2023
Redmud Green Energy 147 Pty Ltd - Solar - NSW,6.435,21/08/2023
Redmud Green Energy 148 Pty Ltd - Solar - NSW,6.4353,16/08/2023
Agile Energy - Treadwell - 230kW Solar w SGU - SA,0.2295,16/08/2023
Dairy Farm Mathoura - Solar w SGU - NSW,0.1711,14/08/2023
Narrakine Hay - Solar - WA,0.44,7/08/2023
Woolworths Shellharbour 1197 - Solar - NSW,0.3997,3/08/2023
Woolworths Victor Harbor SM 5653 - Solar - SA,0.2714,2/08/2023
AU543 Pack Centre B 15-23 Quarry Rd - Solar - NSW,0.2691,2/08/2023
AU543 Erskine Park Bdg E 33-83 Quarry - Solar - NSW,0.2494,2/08/2023
Bunnings Warragul - Solar  - VIC,0.3,31/07/2023
OLERS - Steamatic-Fisher's Cleaning Pty Ltd - Solar - VIC,0.154,31/07/2023
Tailem Bend 2 Solar Farm - Solar - SA,117.873,31/07/2023
Mazda Blacktown - Solar w SGU - NSW,0.2998,31/07/2023
Old Tudor 195.8kW - Solar w SGU - TAS,0.1958,31/07/2023
HPS Transport  - Solar  - SA,0.2937,28/07/2023
Bunnings Mornington - Solar  - TAS,0.28,28/07/2023
Agile Energy - Calvary Flora - 260kW PV w SGU - SA,0.2651,28/07/2023
SCG Knox - Solar - Vic,1.6507,27/07/2023
SCG Fountain Gate - Solar - Vic,2.8128,27/07/2023
Bunnings Caboolture - Solar  -QLD,0.3,25/07/2023
Bunnings Delacombe - Solar - VIC,0.27,25/07/2023
AU543 Erskine Park Bdg A 33-83 Quarry - Solar - NSW,0.1752,25/07/2023
AU543 Erskine Park Building A 15-23 Quarry - Solar w SGU - NSW,0.313,25/07/2023
Kemps Creek Witron System - Solar - NSW,3.5,24/07/2023
Rye Park Wind Farm - Wind - NSW,396,20/07/2023
Schutz Yatala - Solar  - QLD,0.3245,19/07/2023
Derrimut Village HMC - Solar w SGU - VIC,0.2055,19/07/2023
Teys Tamworth Solar Farm - Solar - NSW,2.0147,19/07/2023
Narellan Town Centre - Solar - NSW,2.632,13/07/2023
COCHLEAR LANE COVE FRONT OFFICE - SOLAR w SGU - NSW,0.1788,12/07/2023
Woolworths Wollongong 1030 - Solar - NSW,0.3942,11/07/2023
Woolworths Brunswick 3118 - Solar - VIC,0.3933,11/07/2023
Woolworths Riverway Plaza 2623 - Solar - QLD,0.3436,11/07/2023
Civic Quarter 2 - Solar - ACT,0.192,6/07/2023
Retail First Strathpine-Solar-QLD,0.9986,5/07/2023
Westside Christian College Junior - Solar w SGU - QLD,0.1592,3/07/2023
BOC Townsville - Solar w SGU - QLD,0.2314,3/07/2023
Eiwomple Solar & BESS - Solar - SA,4.958,1/07/2023
Bunnings Keperra - Solar - QLD,0.3,30/06/2023
Wathagar Solar NSW,8.6554,30/06/2023
Retail First Calamvale-Solar-QLD,0.5002,30/06/2023
Symbio - Solar - VIC,0.2998,28/06/2023
Bunnings Armadale - Solar - WA,0.24,28/06/2023
BIDFOOD COLMSLIE - SOLAR - QLD,0.1749,26/06/2023
BIDFOOD NTH PLYMPTON - SOLAR - SA,0.3033,26/06/2023
Chadstone Place - Solar - VIC,0.4395,26/06/2023
Chadstone Terrace - Solar - VIC,0.1993,26/06/2023
Woolworths Swansea 1244 - Solar - NSW,0.288,21/06/2023
Big W Cessnock 132 - Solar - NSW,0.2001,21/06/2023
Weipa Solar Farm 2 - Solar - QLD,5.3827,19/06/2023
WRC Proserpine Water Treatment Plant - Solar - QLD,0.2006,13/06/2023
Rollpress Proplate Wacol - Solar w SGU - QLD,0.2998,8/06/2023
AU525 Oakdale South 2B2 - Solar - NSW,0.3508,8/06/2023
AU146 Cumberlands 146 Warren Rd - Solar - NSW,0.1991,5/06/2023
North East Water - Solar - Vic,3.454,2/06/2023
BUNNINGS Chatswood - Solar  - NSW,0.28,1/06/2023
AU903 Redbank Motorway Complex - Solar - QLD,0.8547,1/06/2023
TaiTung Australia Pty Ltd - Solar w SGU - NSW,0.209,1/06/2023
Stuartholme School W SGU QLD,0.2443,31/05/2023
St Albans Mini-Hydro - VIC,0.4,29/05/2023
Philmac-Solar w SGU-SA,0.505,29/05/2023
Tindo Mawson Lakes - Solar w SGU - SA,0.2223,24/05/2023
Charles Sturt University Bathurst Campus - Solar w SGU - NSW,1.1352,24/05/2023
Donvale Christian College - Solar - VIC,0.1456,23/05/2023
Kilburn - Solar w SGU - SA,0.4995,23/05/2023
Rosebud RSL Sub Branch Inc - Solar w SGU - VIC,0.2094,23/05/2023
Wandoan Solar Farm 1 - Qld,167.0976,22/05/2023
Greenway- Solar w SGU - NSW,0.7269,19/05/2023
Woolworths Forbes 1307 - Solar - NSW,0.2479,18/05/2023
Bunnings Marsden Park - Solar - NSW,0.46,18/05/2023
Woolworths Gawler 5617 - Solar - SA,0.3713,16/05/2023
Gungahlin Lakes Golf & Community Club - Solar - ACT,0.3371,12/05/2023
Mannum Adelaide Pumping Station No 3 (MAPL3) - Solar - SA,16.2154,11/05/2023
Danthonia Designs - Solar w SGU - NSW,0.1786,10/05/2023
Endeavour Court - Solar - VIC,1.1016,10/05/2023
ELS Environmental - Solar - VIC,0.209,10/05/2023
Wyalong Solar Farm - Solar - NSW,75.0341,9/05/2023
MACKAY CRICKET ASSOCIATION INC. - Solar - QLD,0.1848,5/05/2023
Hollywood Plaza - Salisbury Downs - Solar - SA,1.5819,5/05/2023
AU905 Redbank Motorway Complex - Solar - QLD,0.6512,4/05/2023
Denham Renewable Energy Facility - Solar - WA,1.3457,4/05/2023
Bunnings Rouse Hill - Solar - NSW,0.22,3/05/2023
Warrawoona Solar WA,4.1202,3/05/2023
OLERS-A Touch Of Glass - Solar - VIC,0.3445,1/05/2023
"HMC Marsden Park, 9 Hollinsworth Rd - Solar - NSW",0.8244,1/05/2023
Minto System 1 - Solar w SGU - NSW,0.5399,1/05/2023
Minto System 2- Solar w SGU - NSW,0.1628,1/05/2023
Loveday Solar & BESS - Solar - SA,2.0307,30/04/2023
Agile Energy Next Gen - Solar w/ SGU - ACT,0.2466,27/04/2023
Woolworths Gunnedah 1168 - Solar - NSW,0.3744,26/04/2023
Woolworths Nambucca Heads 1311 - Solar - NSW,0.2084,26/04/2023
Milspec - Solar - NSW,0.1751,24/04/2023
Sanofi Aventis - Solar - QLD,0.684,24/04/2023
Bunnings Hoxton Park - Solar - NSW,0.28,24/04/2023
Robina Town Centre Office Building -Solar w SGU - QLD,0.23,24/04/2023
"Pfeiffer Rd, Woodside - Solar w SGU - SA",0.298,20/04/2023
IGA Walgett - 198.32kW - Solar w SGU - NSW,0.1983,20/04/2023
Clean Peak Energy - Virginia - Solar - QLD,0.765,19/04/2023
Dulacca Wind Farm - QLD,180.6,19/04/2023
PGH Cecil Park - Solar - NSW,0.3768,19/04/2023
Wallsend Village - Solar w SGU - NSW,0.7172,19/04/2023
Wests Illawarra - Solar w/SGU - NSW,0.2239,4/04/2023
435 Dundas Road - Solar w SGU - WA,0.1993,4/04/2023
Forza Capital Browning Street - Solar w SGU - QLD,0.2672,3/04/2023
Nazareth College - Solar wSGU - VIC,0.2424,3/04/2023
Shortland WWTW - Solar - NSW,0.8009,31/03/2023
Branxton WWTW - Solar w SGU - NSW,0.3025,31/03/2023
Charter Hall Huntingwood-Solar-NSW,0.5004,28/03/2023
Woolworths Nelson Bay 1785 - Solar w SGU - NSW,0.3442,28/03/2023
Woolworths Springwood 2621 - Solar - QLD,0.3137,28/03/2023
Woolworths Butler Central 4310 - Solar w SGU - WA,0.2134,28/03/2023
Wine Innovation East - Solar - SA,0.1776,27/03/2023
Roseworthy Campus - Solar - SA,1.2038,27/03/2023
Woolworths Gloucester 1680 - Solar - NSW,0.1946,24/03/2023
Woolworths Moorabbin 3136 - Solar - VIC,0.2755,23/03/2023
Big W Cumberland Park 551 - Solar - SA,0.1827,23/03/2023
Energy Bay - Caddens Corner - Solar w SGU - NSW,0.2269,23/03/2023
Mattina Fresh Yarroweyah - Solar [w SGU] - VIC,0.298,23/03/2023
Esperance SHS - Solar w SGU - WA,0.2314,23/03/2023
Woolworths Canberra Airport 1419 - Solar - ACT,0.3096,22/03/2023
AU144 Oakdale West Industrial Estate WH3A - Solar - NSW,0.2502,16/03/2023
Woolworths Chelsea 3124  - Solar - VIC,0.2696,16/03/2023
Woolworths Mandurah 4395 - Solar w SGU - WA,0.2569,16/03/2023
Frasers Rubix -Solar -Vic,0.4005,16/03/2023
Hewitt Cattle Narwietooma - Solar  - NT,0.15,16/03/2023
Woolworths Bowral 1162 - Solar - NSW,0.3956,14/03/2023
TJX Australia - Solar - NSW,0.8001,14/03/2023
Jardan Australia 400 - Solar w SGU-VIC,0.5,14/03/2023
Strata SP76024 - Solar - NSW,0.2625,13/03/2023
Woolworths Lakewood 1221 - Solar - NSW,0.2682,7/03/2023
Woolworths Chinchilla 2079 - Solar - QLD,0.2412,7/03/2023
Karratha Senior High School - WA - Solar,0.2251,7/03/2023
Woolworths Narangba 2606 - Solar - QLD,0.2939,7/03/2023
Woolworths Dandenong North 3742 - Solar - VIC,0.2654,7/03/2023
Woolworths Redbank Plains Mountview 2867 - Solar - QLD,0.2994,7/03/2023
Woolworths 1180 Coffs Harbour - Solar w SGU - NSW,0.272,7/03/2023
Woolworths Bannockburn 2866 - Solar - QLD,0.2399,7/03/2023
Laminate Fabrications - Solar w SGU - SA,0.199,6/03/2023
Blenners Transport - Solar w SGU - QLD,0.5,3/03/2023
Woolworths Umina 1380 - Solar - NSW,0.2765,2/03/2023
Woolworths Lithgow 1242 - Solar - NSW,0.2755,2/03/2023
Woolworths Narrabri 1305 - Solar - NSW,0.2925,1/03/2023
RAAF Darwin Solar Farm - Solar - NT,3.6288,1/03/2023
SCHO002 - Solar - NSW,0.2016,1/03/2023
SCHO003-Solar-NSW,0.2009,1/03/2023
Mica Creek Solar Farm - Solar - QLD,100.7991,24/02/2023
Darcy Dr Idalia FHC1- Solar w SGU - QLD,0.4608,23/02/2023
Darcy Dr Idalia FHC2- Solar w SGU - QLD,0.1997,23/02/2023
Edenvale Solar Park - Solar - QLD,204.0497,23/02/2023
Woolcock St Currajong - Solar - QLD,0.3793,23/02/2023
Woolworths Tamworth East (Peel Street) 1685 - Solar - NSW,0.3601,21/02/2023
Woolworths Revesby 1402 - Solar - NSW,0.414,21/02/2023
Woolworths Gordonvale West 2642 - Solar - QLD,0.2628,21/02/2023
Woolworths Unanderra 1387 - Solar - NSW,0.3418,20/02/2023
Woolworths Wangaratta 3263 - Solar - VIC,0.305,20/02/2023
Woolworths Chatswood East 1002 - Solar - NSW,0.3036,20/02/2023
Mt Wilga Private Hospital - Solar w SGU - NSW,0.356,17/02/2023
LHI - Solar w Battery - NSW,1.3347,16/02/2023
Woolworths DC Wyong 1933 - Solar - NSW,1.5203,15/02/2023
Bunnings Pymble - Solar - NSW,0.3,14/02/2023
Bunnings Gladesville - Solar - NSW,0.36,14/02/2023
Galipo Foods Dry Creek - Solar - SA,0.5997,10/02/2023
Woods Stockfeeds - Solar - QLD,0.5886,8/02/2023
Coburn-Solar-WA,11.1283,8/02/2023
Abra-Solar-WA,7.4188,8/02/2023
WYNNUM MANLY LEAGUES CLUB - SOLAR W SGU - QLD,0.1495,6/02/2023
BERRI ENERGY PROJECT - Solar - SA,5.8217,3/02/2023
Rubyanna Waste Water Treatment Plant - Solar - QLD,0.468,1/02/2023
PFIZER MELBOURNE BUILDING 6 - SOLAR - VIC,0.2752,30/01/2023
Bunnings Bonnyrigg - Solar - NSW,0.28,27/01/2023
Bunnings Murray Bridge - Solar - SA,0.135,27/01/2023
V&C Foods South Nowra - Solar w SGU - NSW,0.1989,27/01/2023
Palmerston Shopping centre 2022 - Solar - NT,0.4039,26/01/2023
Hale School - Solar w SGU - WA,0.6103,24/01/2023
Western Hospital - Henley Beach - Solar - SA,0.3421,23/01/2023
Headquarters Road Mini - Hydro - TAS,1.958,20/01/2023
Gilmac York - Solar w SGU - WA,0.495,18/01/2023
South Western Logistics - 0.3595MW - Solar w SGU - NSW,0.3594,12/01/2023
PFIZER MELBOURNE B7 - SOLAR - VIC,0.1995,11/01/2023
Gapsted Wines - Solar - Victoria,0.1992,30/12/2022
Group Energy - West Gosford - Solar - NSW,0.2002,23/12/2022
Grafton District Services Club - Solar w SGU - NSW,0.208,22/12/2022
Toowoomba - LFG - QLD,1.065,21/12/2022
Avonlie Solar Farm-NSW,245.4753,20/12/2022
UWA - Indian Ocean Marine Research Centre - Solar w SGU - WA,0.1364,19/12/2022
NPS - Solar - SA,5.632,16/12/2022
AU491 Smithfield DC WH1 - Solar - NSW,0.5949,13/12/2022
Woolworths Greenvale Lakes 3809 - Solar - VIC,0.2232,13/12/2022
AU491 Smithfield DC WH2 - Solar - NSW,0.549,13/12/2022
AU568 Oakdale Industrial Estate WH4 - Solar with SGU - NSW,0.148,12/12/2022
ZENEXUS - SOLAR - QLD,0.2503,12/12/2022
AU568 Oakdale Industrial Estate Masonry Plant - Solar with SGU - NSW,0.1698,12/12/2022
ROCHEDALE U1 - SOLAR - QLD,0.4004,9/12/2022
ROCHEDALE U3 - SOLAR - QLD,0.4505,9/12/2022
Bunnings Northmead - Solar - NSW,0.28,6/12/2022
Bunnings Kingsgrove - Solar - NSW,0.445,6/12/2022
Bunnings Shellharbour - Solar - NSW,0.28,6/12/2022
Woolworths Playford 5945 - Solar w SGU - SA,0.1999,6/12/2022
Bunnings Castle Hill - Solar - NSW,0.65,5/12/2022
Southern Steel Milperra  - Solar - NSW,0.3523,2/12/2022
Orchid 127 Dandenong South - Solar w SGU - VIC,0.2263,2/12/2022
Kookaburra Sport Moorabbin - Solar - VIC,0.2543,2/12/2022
Avery Dennison - au745 Chifley Business Park - Solar - VIC,0.1521,2/12/2022
e NGK - au746 Chifley Business Park - Solar - VIC,0.198,2/12/2022
Wiluna Renewable Energy Facility - Solar - WA,0.2594,30/11/2022
Bunnings Acacia Ridge - Solar - QLD,0.4,28/11/2022
MELBOURNE 5 - SOLAR - VIC,0.4842,28/11/2022
Bunnings Virginia - Solar - QLD,0.36,25/11/2022
SM Cold Storage - Solar - VIC,0.588,22/11/2022
Energy Bay - WINC - Solar wSGU - NSW,0.2965,16/11/2022
Ross Labs - Solar w SGU - VIC,0.3458,14/11/2022
Redmud Green Energy 122 - Solar - SA,4.669,11/11/2022
Warnertown 1 Solar Farm - SA,2.511,8/11/2022
Digga Australia Yatala - Solar - QLD,0.6003,7/11/2022
Coffs Harbour WRP MCC01 - Solar - NSW,0.8053,7/11/2022
Aegis Shorehaven Solar PV WA,0.198,7/11/2022
Redmud Green Energy 120 - Solar - SA,4.6696,4/11/2022
Woolgoolga WRP - Solar - NSW,0.2462,3/11/2022
"Mary Street, Charters Towers - Solar w SGU - QLD",0.1873,1/11/2022
