Power station name,Installed capacity,Accreditation start date
Tropicana-Solar and Wind-WA,48.1348,16/09/2024
Woodcroft Town Centre - Solar w SGU - SA,0.5625,16/09/2024
Kilcoy Cuisine - Solar - QLD,1.1554,13/09/2024
Mackay South Water Recycling Facility - Solar - QLD,0.1993,13/09/2024
DHL Mt Atkinson WHB - Solar w SGU -VIC,0.2001,13/09/2024
DHL Mt Atkinson WHA - Solar w SGU -VIC,0.2001,13/09/2024
Mackay North Water Recycling Facility - Solar - QLD,0.1993,13/09/2024
Nebo Road Water Treatment Plant 1 - Solar - QLD,0.2198,13/09/2024
Bunnings Minchinbury - Solar - NSW,0.1628,11/09/2024
Bunnings Bayswater - Solar - VIC,0.24,11/09/2024
Charter Hall Cospak - Solar w SGU - NSW,0.5,11/09/2024
Hunter Parking and Storage - Solar - NSW,0.2992,11/09/2024
Bunnings Mittagong - Solar - NSW,0.27,9/09/2024
Clean Peak Energy - Cessnock - Solar - NSW,0.4593,9/09/2024
BB Truss - Solar - VIC,0.2002,9/09/2024
Grong Grong Solar Farm - Solar - NSW,1.7545,9/09/2024
Pimpama Sports Hub - Solar - QLD,0.8081,9/09/2024
Goodman AU183 Oakdale West 2C+2D - Solar - NSW,0.42,8/09/2024
Goodman Port Melbourne Store A1 & A2 - Solar - VIC,0.4,8/09/2024
AU186 Oakdale West 5A - Solar w SGU- NSW,0.6505,8/09/2024
AU723 Goodman Amazon Centennary DC - Solar  w SGU - NSW,0.41,8/09/2024
Jundee - Solar - WA,17.0829,6/09/2024
Bellevue Gold - Solar - WA,26.4624,6/09/2024
Kingaroy Solar Farm - Solar PV - QLD,53.6894,4/09/2024
Pet Care Kitchen - Solar - NSW,0.5015,4/09/2024
Redmud Green Energy 192 Pty Ltd - Solar - SA,6.3261,4/09/2024
Frenchville Sports Club - Solar - QLD,0.3732,29/08/2024
ISPT Fletcher Village - Solar w SGU - NSW,0.1496,28/08/2024
ROCKMAN-SOLAR-NSW,0.249,27/08/2024
Space Urban 110 Somersby Falls Rd - Solar - NSW,0.1991,26/08/2024
Bright Brewery - Solar - VIC,0.1711,23/08/2024
Bunnings Port Melbourne - Solar - VIC,0.34,23/08/2024
Oran Park EN1 - Solar w SGU - NSW,0.5465,22/08/2024
Oran Park EN2 - Solar w SGU - NSW,0.2754,22/08/2024
Bunnings Pakenham - Solar - VIC,0.29,21/08/2024
DHLS33 Global Forwarding Project Lawson - Solar w SGU - QLD,0.1701,21/08/2024
Frenchs Forest - Solar w SGU - NSW,0.2574,20/08/2024
Belconnen Market - Solar w SGU - ACT,0.5396,20/08/2024
Mannum Solar and BESS - Solar - SA,5.08,20/08/2024
Redmud Green Energy 149 Pty Ltd - Solar- NSW,6.357,19/08/2024
Cunderdin Hybrid PV Solar and BESS - Solar - WA,127.932,19/08/2024
NSR Porphyry Mine 1 - Solar - WA,4.455,19/08/2024
Eagle Bay Brewing - Solar WSGU - WA,0.1429,19/08/2024
CSIRO - Pullenvale - Solar - QLD,0.7608,15/08/2024
LOREAL - SOLAR w SGU - QLD,0.3476,15/08/2024
AU918 Redbank Bapcor - Solar - QLD,1.7995,14/08/2024
Coffs Central - Solar w SGU - NSW,0.3031,13/08/2024
Bunnings Tuggerah - Solar - NSW,0.24,13/08/2024
"Taylors Road, Dandenong South - Solar - VIC",1.5,9/08/2024
Frasers IVE - Solar w SGU - VIC,0.5004,9/08/2024
Region Group Stirlings Central - Solar - WA,0.7588,8/08/2024
"Eumemmerring  (Unit 3, 4A, 4B) - Solar w SGU - VIC",0.9004,7/08/2024
Woolworths Ararat 3164 - Solar - VIC,0.2374,6/08/2024
Crookwell 3 Wind Farm - Wind - NSW,57.6,5/08/2024
Warrawong-Solar-NSW,0.528,5/08/2024
Agile Energy - CenturiaF&W - 200kW - Solar w SGU - SA,0.1996,5/08/2024
Agile Energy - Robina35TCD - 157kW - Solar w SGU - QLD,0.1569,5/08/2024
Walpole Dairy - Solar wSGU - VIC,0.1996,2/08/2024
BF HUME - SOLAR - ACT,0.2521,31/07/2024
Rosebery Engine Yards - Solar - NSW,0.25,30/07/2024
Bunnings Seven Hills - Solar - NSW,0.37,29/07/2024
Caron Labs - Solar W SGU - VIC,0.1403,29/07/2024
Duckworth St Garbutt - Solar - QLD,0.424,29/07/2024
Cronos Steel - Solar w SGU - QLD,0.174,26/07/2024
AGRIGHT GRIFFITH - Solar - NSW,3.9798,25/07/2024
Al Noori Muslim School - Solar - NSW,0.7023,24/07/2024
Yiramalay Studio School-Solar-WA,0.363,23/07/2024
Bostocks Creek - Solar - VIC,6.4116,23/07/2024
Greenhill Mushrooms - Solar w SGU - NSW,0.2994,23/07/2024
AU870 Interchange Park 8 Interchange Dr - Solar w SGU - NSW,0.4853,22/07/2024
Prince Alfred College - Solar w SGU - SA,0.2,22/07/2024
CHARTER HALL-WACOL-SOLAR-W SGU-QLD,0.2335,21/07/2024
Rapid Plus - Solar w SGU - NSW,0.8775,19/07/2024
Newstead Solar Farm - Solar - VIC,2.841,19/07/2024
Brooklyn Depot - Solar - VIC,1.2495,17/07/2024
FREDERICK IRWIN ANGLICAN SCHOOL - Solar - WA,0.2566,16/07/2024
Wongaburra Society - Solar  - QLD,0.3581,16/07/2024
NIPPYS 400kW- SOLAR W SGU - SA,0.4998,16/07/2024
"Endeavour Blvd, North Lakes - Solar - QLD",0.2705,12/07/2024
Morayfield Super Centre - Solar w SGU - QLD,0.1991,12/07/2024
Lakelands Shopping Centre - Solar - WA,0.2994,11/07/2024
Barooga Sports Club - Solar w SGU - NSW,0.3021,10/07/2024
Karratha Depot - Solar PV - WA,0.189,10/07/2024
METCASH - SOLAR - VIC,2.7007,10/07/2024
Narromine Renewable Energy Project - Solar - NSW,6.7399,10/07/2024
Agile Energy RFSA - 250kW Solar - SA,0.251,10/07/2024
Capestone Blvd & Napier - Solar w SGU - QLD,0.5203,8/07/2024
Collinsville Water Treatment Plant - Solar - QLD,0.2527,8/07/2024
Harbourside Woree - Solar w SGU - QLD,0.1461,8/07/2024
Sydney Lambs Pty Ltd - Solar w SGU - NSW,0.1596,4/07/2024
Schwartz Family Solar farm No 2 - Solar - NSW,6.552,3/07/2024
Opal Cove Korora - Solar w SGU - NSW,0.2387,2/07/2024
Ryan Corner Wind Farm - Wind - Vic,218.4,1/07/2024
Macgregor Home Centre - Solar _ PV w/SGU - QLD,0.5374,28/06/2024
CHARTER HALL-ROOTYHILL 1-SOLAR-W SGU-NSW,0.2497,26/06/2024
CHARTER HALL-ROOTYHILL 2-SOLAR-W SGU-NSW,0.2502,26/06/2024
Glass Expansion - Solar - VIC,0.3001,26/06/2024
Gosford Hospital - Solar -  NSW,1.2006,25/06/2024
Girgarre Solar Farm - Solar - VIC,93.4853,25/06/2024
CSR Gyprock Wetherill Park - Solar - NSW,2.0017,24/06/2024
Ashmore Shopping Centre - Solar w SGU - QLD,0.3998,21/06/2024
Woolworths Clarkson 4431 - Solar - WA,0.4122,20/06/2024
7 CALLISTER - SOLAR w SGU - VIC,0.1525,20/06/2024
7A CALLISTER - SOLAR w SGU - VIC,0.4171,20/06/2024
Lenne's Orchards Coolstore Armona - Solar w SGU - VIC,0.1892,20/06/2024
Bunnings Vermont South - Solar - VIC,0.185,19/06/2024
Strathpine Shopping Square - Solar - QLD,0.4221,18/06/2024
SANDVIK ORANGE - SOLAR - NSW,0.1496,14/06/2024
Hawkesdale Wind Farm - Wind - Vic,96.6,13/06/2024
Maryborough Community Aged Care - Solar w SGU - QLD,0.1998,12/06/2024
Dural Baptist Church - Solar - NSW,0.2416,12/06/2024
Clean Peak Energy - Huntingwood- Solar - NSW,4.0104,11/06/2024
