DUID,Energy Produced (MWh),Realised Usage (MW)
MSTUART3,1220.824083,0.13936348
MTGELWF1,103254.0292,11.78698963
MTMILLAR,190198.243,21.7121282
MURRAY,1785630.02,203.8390434
MUSSELR1,581409.2152,66.37091498
NBHWF1,459287.1427,52.43003912
NPS,545140.3045,62.23062837
NYNGAN1,247002.2472,28.19660356
OAKEY1,11285.983,1.288354224
OAKEY2,14676.296,1.675376256
OAKLAND1,184557.4815,21.06820565
OSB-AG,921574.4275,105.2025602
PALOONA,136426.04,15.57374886
PARSF1,99093.26217,11.31201623
PIONEER,165710.4833,18.91672184
POAT110,383012.6002,43.72289957
POAT220,986404.2697,112.6032271
POR01,1777.447833,0.202905004
POR03,927.56575,0.105886501
PORTWF,441236.9833,50.36951864
PPCCGT,2389237.34,272.7439886
PTSTAN1,4905.3,0.559965753
PUMP1,101719.1692,11.61177731
PUMP2,34026.72292,3.8843291
QPS1,15079.22208,1.721372384
QPS2,13844.78333,1.580454718
QPS3,17887.25,2.041923516
QPS4,12994.225,1.483359018
QPS5,200146.5825,22.84778339
REECE1,507799.0175,57.96792437
REECE2,482753.4933,55.10884627
REPULSE,35089.97808,4.00570526
ROMA_7,13064.43233,1.491373554
ROMA_8,11933.06083,1.362221556
ROWALLAN,50406.83333,5.754204718
ROYALLA1,38594.98383,4.405820072
RPCG,65574.76667,7.485703958
RRSF1,48984.49008,5.591836767
RT_NSW1,0,0
RT_NSW2,0,0
RT_NSW3,0,0
RT_NSW4,0,0
RT_NSW5,0,0
RT_NSW6,0,0
RT_QLD1,0,0
RT_SA1,0,0
RT_SA2,0,0
RT_SA3,0,0
RT_SA4,0,0
RT_SA5,0,0
RT_SA6,0,0
RT_TAS1,0,0
RT_VIC1,0,0
RT_VIC10,0,0
RT_VIC11,0,0
RT_VIC12,0,0
RT_VIC2,0,0
RT_VIC3,0,0
RT_VIC4,0,0
RT_VIC5,0,0
RT_VIC6,0,0
RT_VIC7,0,0
RT_VIC8,0,0
RT_VIC9,0,0
RUBICON,0,0
SALTCRK1,102034.5792,11.64778301
SAPHWF1,393779.8545,44.95203818
SATGN1,495.4316667,0.056556126
SATGS1,255.2525,0.029138413
SHGEN,135354.5728,15.45143525
SHPUMP,225208.2322,25.70870231
SITHE01,9590.187417,1.094770253
SMCSF1,133213.9883,15.20707629
SNOWNTH1,459188.4416,52.41877187
SNOWSTH1,444928.9668,50.79097795
SNOWTWN1,351187.0595,40.08984697
SNOWYP,122841.4583,14.02299752
SNUG1,1456.470083,0.166263708
SRSF1,200.3166667,0.022867199
STAN-1,2318368.55,264.6539441
STAN-2,2156829.86,246.2134543
STAN-3,2282200.298,260.5251482
STAN-4,1837505.869,209.7609439
STARHLWF,96576.93692,11.02476449
STWF1,98260.81558,11.21698808
SWAN_E,616261.0652,70.34943667
TALWA1,873616,99.72785388
TARALGA1,299342.0622,34.17146829
TARONG#1,2171075.817,247.8397051
TARONG#2,2317408.983,264.5444045
TARONG#3,1571046.467,179.343204
TARONG#4,2235400.875,255.1827483
TARRALEA,615119.8083,70.2191562
TBSF1,0,0
TNPS1,3021632.267,344.9351903
TORRA1,156483.4163,17.86340369
TORRA2,73636.10225,8.405947745
TORRA3,136829.2716,15.61977986
TORRA4,143572.2398,16.38952509
TORRB1,520653.0367,59.43527816
