DUID,Energy_MWh,Avg_MW,Fuel_Source,State,AEMO_Station_Name,CER_Power_Station_Name,Installed_Capacity_MW,Accreditation_Start_Date,,
DARTM1,406597.4667,46.41523592,Hydro,VIC,Dartmouth Power Station,Dartmouth,150,20/06/2001,,
DAYDSF1,24332.66667,2.777701675,Solar,QLD,Daydream Solar Farm,DAYDREAM SOLAR FARM  - QLD,180.7488,20/09/2018,,
DDSF1,49639.9205,5.666657591,Solar ,QLD,Darling Downs Solar Farm,Darling Downs Solar Farm - QLD,137.592,27/07/2018,,
DEVILS_G,271025.5409,30.93898869,Hydro,TAS,Devils Gate Power Station,Devils Gate,63.5,1/04/2001,,
EILDON1,"210,269.38",24.00335408,Hydro,VIC,Eildon Power Station,Eildon Power Station,135,20/06/2001,,
EMERASF1,33061.25492,3.774115858,Solar,QLD,Emerald Solar Park,Emerald Solar Park - QLD,89.6308,18/09/2018,,
FISHER,247632.79,28.26858333,Hydro,TAS,Fisher Power Station,Fisher,43.2,1/04/2001,,
GANNSF1,68631.74267,7.834673821,Solar,VIC,Gannawarra Solar Farm,GANNAWARRA SOLAR FARM - VIC,60.236,21/03/2018,,
GORDON,1690194.278,192.9445523,Hydro,TAS,Gordon Power Station,Gordon,432,1/04/2001,,
GRIFSF1,39750.72092,4.53775353,Solar,NSW,Griffith Solar Farm,SV - Griffith - Solar - NSW,0.1519,8/12/2017,,
GUNNING1,166078.7087,18.9587567,Wind,NSW,Gunning Wind Farm,Gunning Wind Farm - NSW,46.5,23/03/2011,,
GUTHEGA,134271.6066,15.32780897,Hydro,NSW,Guthega Power Station,Guthega,65,1/04/2001,,
HALLWF1,324207.1042,37.0099434,Wind,SA,Hallett 1 Wind Farm,Hallett Wind Farm SA,92.4,14/05/2007,,
HALLWF2,247158.6847,28.21446172,Wind,SA,Hallett 2 Wind Farm,Hallett 2 Wind Farm - SA,71.4,27/04/2009,,
HAMISF1,37190.75683,4.245520186,Solar,QLD,Hamilton Solar Farm,HAMILTON SOLAR FARM - QLD,68.889,3/07/2018,,
HAYMSF1,0,0,Solar,QLD,Hayman Solar Farm,HAYMAN SOLAR FARM - QLD,60.24,23/09/2018,,
HDWF1,373759.8965,42.66665485,Wind,SA,Hornsdale Wind Farm,Hornsdale Wind Farm Stage 1 - SA,102.4,22/06/2016,,
HDWF2,352882.0021,40.28333357,Wind,SA,Hornsdale Wind Farm 2,Hornsdale Wind Farm Stage 2 - SA,102.4,10/02/2017,,
HDWF3,376928.2374,43.0283376,Wind,SA,Hornsdale Wind Farm 3,Hornsdale Wind Farm Stage 3 - SA,112,16/08/2017,,
HUGSF1,1858.837417,0.212196052,Solar,QLD,Hughenden Solar Farm,Hughenden Solar Farm - QLD,20.1617,25/01/2018,,
HUMENSW,"207,320.97",23.66677715,Hydro,NSW,Hume (NSW) Hydro Power Station,Hume Power Station,58,1/04/2001,,
JBUTTERS,702786.4058,80.22675865,Hydro,TAS,John Butters Power Station,John Butters,144,1/04/2001,,
KAREEYA1,"489,258.57",55.85143495,Hydro,QLD,Kareeya Power Station,Kareeya,86.4,1/04/2001,,
